id,category,subcategory,name
180,"BABY RANGE","BABY BOTTLES & OTHER DINNING UTENSILS","BABE BIBERON 250 ML"
174,"BABY RANGE","BABY BOTTLES & OTHER DINNING UTENSILS","BABE TEATINE"
650,"HOUSEHOLD & HOME NEEDS PRODUCTS","HOUSEHOLD & HOME NEEDS PRODUCTS","SMALL BAG"
566,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL DOCTOR'S LAB COAT WHITE WITH BLUE DESIGN LONG SLEEVE","MEDICAL DOCTOR'S WHITE COAT LONG SLEEVE WITH BLUE DESIGN LARGE"
565,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL DOCTOR'S LAB COAT WHITE WITH BLUE DESIGN LONG SLEEVE","MEDICAL DOCTOR'S WHITE COAT LONG SLEEVE WITH BLUE DESIGN MEDIUM"
564,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL DOCTOR'S LAB COAT WHITE WITH BLUE DESIGN LONG SLEEVE","MEDICAL DOCTOR'S WHITE COAT LONG SLEEVE WITH BLUE DESIGN SMALL"
567,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL DOCTOR'S LAB COAT WHITE WITH BLUE DESIGN LONG SLEEVE","MEDICAL DOCTOR'S WHITE COAT LONG SLEEVE WITH BLUE DESIGN X-LARGE"
568,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL DOCTOR'S LAB COAT WHITE WITH BLUE DESIGN LONG SLEEVE","MEDICAL DOCTOR'S WHITE COAT LONG SLEEVE WITH BLUE DESIGN XX-LARGE"
576,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL NURSE'S LAB COAT WHITE STOPPER SLEEVE","NURSE'S WHITE COAT STOPPER SLEEVE WITH BLUE DESIGN LARGE"
575,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL NURSE'S LAB COAT WHITE STOPPER SLEEVE","NURSE'S WHITE COAT STOPPER SLEEVE WITH BLUE DESIGN MEDIUM"
574,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL NURSE'S LAB COAT WHITE STOPPER SLEEVE","NURSE'S WHITE COAT STOPPER SLEEVE WITH BLUE DESIGN SMALL"
577,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL NURSE'S LAB COAT WHITE STOPPER SLEEVE","NURSE'S WHITE COAT STOPPER SLEEVE WITH BLUE DESIGN X-LARGE"
578,"MEDICAL DEVICES & HOSPITAL NEEDS","MEDICAL NURSE'S LAB COAT WHITE STOPPER SLEEVE","NURSE'S WHITE COAT STOPPER SLEEVE WITH BLUE DESIGN XX-LARGE"
514,"PERSONAL CARE & HYGIENICS","PERSONAL CARE & HYGIENICS","TARGET COTTON SWABS B/100 PINK"
512,"PERSONAL CARE & HYGIENICS","PERSONAL CARE & HYGIENICS","TARGET TIGE COTTON B/100 BLUE"
513,"PERSONAL CARE & HYGIENICS","PERSONAL CARE & HYGIENICS","TARGET TIGE COTTON B/100 GREEN"
511,"PERSONAL CARE & HYGIENICS","PERSONAL CARE & HYGIENICS","TARGET TIGE COTTON B/100 WHITE"
