file,row,excel_name,candidate_id,candidate_name,score
"COLEX CONTAINER KRUT.xlsx",9,"NAN OPTIPRO 800G N01",1,"NAN OPTIPRO N1 800G",0.77
"COLEX CONTAINER KRUT.xlsx",10,"NAN OPTIPRO 800G N02",1,"NAN OPTIPRO N1 800G",0.77
"COLEX CONTAINER KRUT.xlsx",11,"NAN OPTIPRO 800G N03",1,"NAN OPTIPRO N1 800G",0.77
"COLEX CONTAINER KRUT.xlsx",20,"NUTRILON LAIT DE SUITE 800G NO2  6-12 M",4,"NUTRILON N0 1 800G",0.37
"COLEX CONTAINER KRUT.xlsx",22,"NUTRILON LAIT DE CROISSANCE 800G NO2+, 2Y+",5,"NUTRILON N0 2 800G",0.36
"COLEX CONTAINER KRUT.xlsx",23,"NUTRILON LAIT DE CROISSANCE 800G NO3+, 3Y+",8,"NUTRILON  N0  3+ 800G",0.36
"COLEX CONTAINER KRUT.xlsx",24,"O.B.ORIGINAL NORMAL B/16",335,"OB Tampons - Original Normal 16 pieces",0.47
"COLEX CONTAINER KRUT.xlsx",25,"O.B.ORIGINAL SUPER B/16",338,"OB Tampons - Original Super 16 pieces",0.47
"COLEX CONTAINER KRUT.xlsx",26,"O.B ORGINAL SUPER PLUS B/16",336,"OB Tampons - Original Super Plus 16 pieces",0.45
"COLEX CONTAINER KRUT.xlsx",42,"TAMPAX COMPAK SUPER PLUS 22 PCS",374,"TAMPAX SUPER PLUS TAMPONS 22'S",0.60
"COLEX CONTAINER KRUT.xlsx",29,"O.B PRO-COMFORT SUPER PLUS B/16",337,"OB Tampons - Pro-Comfort Super Plus 16 pieces",0.58
"COLEX CONTAINER KRUT.xlsx",27,"O.B PRO-COMFORT NORMAL  B/16",339,"OB Tampons - Pro-Comfort Normal 16 pieces",0.55
"COLEX CONTAINER KRUT.xlsx",28,"O.B PRO-COMFORT SUPER  B/16",340,"OB Tampons - Pro-Comfort Super 16 pieces",0.54
"COLEX CONTAINER KRUT.xlsx",34,"LISTERINE COOL MINT 250ML",779,"listerine coolmint 250ml",0.82
"COLEX CONTAINER KRUT.xlsx",35,"LISTERINE TOTAL CARE ZERO 250ML",783,"listerine total care 250ml",0.84
"COLEX CONTAINER KRUT.xlsx",37,"LISTERINE COOL MINT 500ML",781,"listerine coolmint 500ml",0.82
"COLEX CONTAINER KRUT.xlsx",38,"LISTERINE TOTAL CARE ZERO 250ML",783,"listerine total care 250ml",0.84
"COLEX CONTAINER KRUT.xlsx",56,"ORAL-B 3 DWHITE PERFECTION 75ML",710,"ORAL-B 3D WHITE PERFECTION TOOTHPSTE 75ML",0.62
"COLEX CONTAINER KRUT.xlsx",57,"ORAL-B 3 DWHITE LUXE CHARCOAL TOOTHPASTE 75ML",765,"ORAL-B 3D WHITE CHARCOAL TOOTHPASTE",0.63
"COLEX CONTAINER KRUT.xlsx",58,"ORAL-B SENSITIVITY&GUM CALM TOOTHPASTE 75ML",711,"ORAL-B 3D WHITE SENSIBILITY & GUM TOOTHPSTE 75ML",0.53
